role,org,cell,salary_mid_usd,firm_rank,firm,firm_grade,why
Task Development Engineer,Model Evaluation and Threat Research,ai-research,450000,4,DeepRec.ai,B,"Explicitly places ML and deep-learning research engineers on live own-site listings, with global reach."
Task Development Engineer,Model Evaluation and Threat Research,ai-research,450000,5,Codesearch AI,B,"Specialist AI search posting Staff/Principal research-engineer mandates feeding top labs, globally."
"Generalist, Core Team",Lightcone Infrastructure,nonprofit-ops-exec,400000,1,Impact Ops,B,"Literally runs recruitment plus operations/finance for high-impact and AI-safety nonprofits, making it uniquely on-target for a Lightcone ops/strategy generalist (remote-first, works for SF)."
"Generalist, Core Team",Lightcone Infrastructure,nonprofit-ops-exec,400000,2,Scion Executive Search,A,SF-based national firm placing CEOs/EDs/COOs plus operations across nonprofits and foundations — the ops+management+strategy generalist is directly in scope.
"Generalist, Core Team",Lightcone Infrastructure,nonprofit-ops-exec,400000,3,LeaderFit,A,"Explicitly names Operations, Finance and People/Talent as functions it places for nonprofits and foundations, matching this role's operations focus."
"Generalist, Core Team",Lightcone Infrastructure,nonprofit-ops-exec,400000,4,Phillips Oppenheim,A,"Places COO/CFO/CEO for nonprofits and philanthropy, covering the operations-leadership end of this multi-level generalist role."
"Generalist, Core Team",Lightcone Infrastructure,nonprofit-ops-exec,400000,5,Stacy Nelson & Associates,B,"SF Bay Area nonprofit leadership search with ED/program/HR pedigree, adding local geography and operations-leadership reach."
Automation Lead,Alignment Research Center,ai-research,400000,1,Lateral Labs,A,"SF-based, built for ML/AI-research IC and engineering roles at frontier orgs; a software-engineering automation lead fits its research-engineering remit."
Automation Lead,Alignment Research Center,ai-research,400000,2,Vector,B,US ML-engineering specialist for early-stage AI/infra whose ML-platform and applied-ML focus matches an automation/tooling lead.
Automation Lead,Alignment Research Center,ai-research,400000,3,Stellar Search (StellarSearch),B,"US (NY/SF) early-stage AI search with research-engineer and founding-engineer practices, reaching a hands-on automation lead."
Automation Lead,Alignment Research Center,ai-research,400000,4,Tykhe (Tykhe Inc),B,"US (Fremont, CA) boutique AI/ML search reaching research engineers and alignment-adjacent talent — local geography plus function fit."
Automation Lead,Alignment Research Center,ai-research,400000,5,Understanding Recruitment,B,"Named ML/AI vertical plus a US AI/ML arm (Acceler8) recruiting ML research and engineering, reaching a software-engineering lead in an AI org."
Security Engineer,Model Evaluation and Threat Research,cyber-offensive,394332,1,Code Red Partners,B,"Its explicit core is placing hands-on security engineers for AI-native security orgs, and it is SF-based — near-perfect for this role."
Security Engineer,Model Evaluation and Threat Research,cyber-offensive,394332,2,RedBlue Security,A,"Offensive/defensive security engineering (red/blue team) is a named sub-sector, hands-on, with a US HQ."
Security Engineer,Model Evaluation and Threat Research,cyber-offensive,394332,3,Hamilton Barnes,B,"Places security engineers hands-on across DevSecOps and cloud, with North America coverage."
Security Engineer,Model Evaluation and Threat Research,cyber-offensive,394332,4,Stott and May,B,"Recruitment arm places security and AppSec engineers on live mandates, global including US (use find.stottandmay.com, not the consulting arm)."
Security Engineer,Model Evaluation and Threat Research,cyber-offensive,394332,5,Adeptis Group,B,"Builds hands-on security-engineering teams across security, cloud and infrastructure, global including US."
Head of Secure Data Centre Scaling,SL5 Task Force,cyber-offensive,375000,1,Code Red Partners,B,SF-based firm that explicitly builds founding and scaling security teams and runs CISO/leadership search — matches a Head-of-scaling infrastructure-security mandate.
Head of Secure Data Centre Scaling,SL5 Task Force,cyber-offensive,375000,2,RedBlue Security,A,"Runs CISO/security executive search alongside deep infra/security-engineering placement, fitting senior infrastructure-security leadership; US HQ."
Head of Secure Data Centre Scaling,SL5 Task Force,cyber-offensive,375000,3,Stott and May,B,"Broad exec/tech search that helps CISOs and technology leaders hire, reaching senior security leadership, global including US."
Head of Secure Data Centre Scaling,SL5 Task Force,cyber-offensive,375000,4,Adeptis Group,B,"Builds high-performing cyber teams across security, cloud and infrastructure with an exec remit — infra plus leadership fit."
Head of Secure Data Centre Scaling,SL5 Task Force,cyber-offensive,375000,5,Nicoll Curtin (cyber desk / BeecherMadden brand),C,"Reaches security and enterprise-security architects and leadership via its cyber sub-brand, relevant to secure-datacentre infrastructure leadership."
System Administrator,Model Evaluation and Threat Research,cyber-offensive,366453,1,Hamilton Barnes,B,"Heritage in enterprise networking plus infrastructure/SOC/cloud security reaches security-focused sysadmins and ops engineers, with North America coverage."
System Administrator,Model Evaluation and Threat Research,cyber-offensive,366453,2,C-Serv,B,"Recruits and deploys teams across Cloud & Infrastructure, Networking, DevOps and cybersecurity — an ops+infosec sysadmin profile fits its delivery model, with US staff."
System Administrator,Model Evaluation and Threat Research,cyber-offensive,366453,3,Adeptis Group,B,"Places cloud security architects and infrastructure-security talent alongside SecOps, global including US."
System Administrator,Model Evaluation and Threat Research,cyber-offensive,366453,4,Code Red Partners,B,"SF-based, builds full security-engineering teams including cloud/infra operations roles."
System Administrator,Model Evaluation and Threat Research,cyber-offensive,366453,5,RedBlue Security,A,Defensive security engineering (blue team) covers hardened-sysadmin and security-operations profiles; US HQ.
"Engineering Manager, Product",Apollo Research,ai-research,339500,1,Riviera Partners,B,"Leading tech-leadership exec search (VP Eng/engineering management) now with Lateral Labs ML capability, and global reach covering both SF and London."
"Engineering Manager, Product",Apollo Research,ai-research,339500,2,Higher (Higher Search),B,London AI/data executive search placing Head of ML and VP Engineering leadership — fits the London leg of this dual-location EM role.
"Engineering Manager, Product",Apollo Research,ai-research,339500,3,Codesearch AI,B,"Specialist AI search placing researchers, engineers and leaders across applied-AI orgs, with London-plus-global reach."
"Engineering Manager, Product",Apollo Research,ai-research,339500,4,Vector,B,"US ML specialist that builds teams and places technical leadership, covering an engineering manager at an AI org on the SF leg."
Head of AI Red Teaming,"Trajectory Labs, PBC",cyber-offensive,325000,1,RedBlue Security,A,"Elite offensive/red-team boutique that also runs security leadership search, able to staff a red-team leader with hands-on credibility; US HQ."
Head of AI Red Teaming,"Trajectory Labs, PBC",cyber-offensive,325000,2,Code Red Partners,B,SF-based cybersecurity/AI/defense search that hires offensive-security technical leads for AI-native orgs.
Head of AI Red Teaming,"Trajectory Labs, PBC",cyber-offensive,325000,3,Trident Search (via Gareth Davies' cyber-defence/offensive desk),B,"Gareth's offensive desk sources red teamers and team leads, reaching AI/offensive red-team leadership (route to Gareth)."
Head of AI Red Teaming,"Trajectory Labs, PBC",cyber-offensive,325000,4,Adeptis Group,B,"Offensive-security/red-team desk with an exec remit that can reach a red-team lead, global including US."
"Tech Lead, AI Safety","Trajectory Labs, PBC",ai-research,325000,1,Lateral Labs,A,SF-based ML/AI-research IC and engineering search at frontier orgs; a hands-on AI-safety tech lead is squarely its remit.
"Tech Lead, AI Safety","Trajectory Labs, PBC",ai-research,325000,2,Axica,A,"Single-discipline ML search with a named AI Safety & Alignment practice (interpretability, evals, red-teaming) — the purest match for the AI-safety substance despite UK HQ."
"Tech Lead, AI Safety","Trajectory Labs, PBC",ai-research,325000,3,Vector,B,"US ML specialist placing research/research-engineering plus technical leadership, fitting a tech lead at an AI org."
"Tech Lead, AI Safety","Trajectory Labs, PBC",ai-research,325000,4,Stellar Search (StellarSearch),B,"US (SF/NY) AI-startup search with research-engineer and founding/lead-engineer practices, reaching a hands-on AI tech lead."
"Tech Lead, AI Safety","Trajectory Labs, PBC",ai-research,325000,5,Tykhe (Tykhe Inc),B,"US (Fremont, CA) AI/ML search reaching research engineers and alignment-adjacent talent — US geography plus safety-adjacent fit."
"Member of Technical Staff, Secure Intelligence Institute",Perplexity,cyber-offensive,312500,1,RedBlue Security,A,"Hands-on offensive/security-research boutique (VR, exploit, malware/RE) fitting a junior research+infosec IC; US HQ."
"Member of Technical Staff, Secure Intelligence Institute",Perplexity,cyber-offensive,312500,2,Code Red Partners,B,SF-based search staffing hands-on security engineers and researchers for AI-native security orgs.
"Member of Technical Staff, Secure Intelligence Institute",Perplexity,cyber-offensive,312500,3,Hamilton Barnes,B,"Pentest/ethical-hacker and security-research reaching desk for hands-on ICs, with North America coverage."
"Member of Technical Staff, Secure Intelligence Institute",Perplexity,cyber-offensive,312500,4,Adeptis Group,B,"Places pentesters, security researchers and malware analysts at IC level, global including US."
"Head of Evaluations, AI Red Teaming","Trajectory Labs, PBC",cyber-offensive,300000,1,RedBlue Security,A,"Elite offensive boutique plus security leadership search, for a senior red-team leader with hands-on evaluation depth; US HQ."
"Head of Evaluations, AI Red Teaming","Trajectory Labs, PBC",cyber-offensive,300000,2,Code Red Partners,B,SF-based cybersecurity/AI/defense search that builds and leads offensive-security teams — leadership plus AI-red-team fit.
"Head of Evaluations, AI Red Teaming","Trajectory Labs, PBC",cyber-offensive,300000,3,Stott and May,B,"Broad exec/tech search with live offensive-security-growth mandates, reaching a senior offensive leader, global including US."
"Head of Evaluations, AI Red Teaming","Trajectory Labs, PBC",cyber-offensive,300000,4,Trident Search (via Gareth Davies' cyber-defence/offensive desk),B,"Gareth's offensive desk reaches senior red-team leadership (route to Gareth, avoid the GTM desks)."
Member of Technical Staff,Artificial Intelligence Underwriting Company,cyber-offensive,300000,1,Code Red Partners,B,"SF-based, its explicit core is placing hands-on security engineers for AI-native orgs — software-engineering plus infosec IC is exactly this."
Member of Technical Staff,Artificial Intelligence Underwriting Company,cyber-offensive,300000,2,RedBlue Security,A,Offensive/defensive security engineering boutique for a hands-on infosec+software IC; US HQ.
Member of Technical Staff,Artificial Intelligence Underwriting Company,cyber-offensive,300000,3,Hamilton Barnes,B,"Places security engineers and DevSecOps hands-on, with North America coverage."
Member of Technical Staff,Artificial Intelligence Underwriting Company,cyber-offensive,300000,4,Stott and May,B,"Recruitment arm places security and AppSec engineers on live mandates, global including US."
Member of Technical Staff,Artificial Intelligence Underwriting Company,cyber-offensive,300000,5,Adeptis Group,B,"Builds hands-on security-engineering teams across security, cloud and infrastructure, global including US."
Infrastructure Lead,Intelligence Security Laboratories,cyber-offensive,290000,1,RedBlue Security,A,"US-HQ'd offensive boutique that runs cleared/defense (TS/SCI) US mandates and also does security-leadership search, matching a cleared DC-metro infrastructure lead."
Infrastructure Lead,Intelligence Security Laboratories,cyber-offensive,290000,2,Code Red Partners,B,"US-based (SF/NY/Denver) security-team builder placing security engineers and offensive technical leads plus CISO/leadership, fitting the lead-level remit."
Infrastructure Lead,Intelligence Security Laboratories,cyber-offensive,290000,3,Adeptis Group,B,"Global cyber recruiter that explicitly builds teams across security, cloud and infrastructure with US coverage, on point for an infrastructure-focused security lead."
Infrastructure Lead,Intelligence Security Laboratories,cyber-offensive,290000,4,Hamilton Barnes,B,"Enterprise-networking/security-heritage firm with North America coverage placing security engineers, apt for an infrastructure lead."
Infrastructure Lead,Intelligence Security Laboratories,cyber-offensive,290000,5,C-Serv,B,"Tech team-build firm with US staff that explicitly covers Cloud & Infrastructure plus Cybersecurity, fitting an infrastructure security lead."
"Research Scientist, London",Goodfire,ai-research,285750,1,Axica,A,UK ML-research firm with a dedicated interpretability/alignment practice — a bullseye for Goodfire's interpretability research.
"Research Scientist, London",Goodfire,ai-research,285750,2,Thayon,A,UK single-discipline frontier-AI search placing research scientists in London with named lab pedigree — exactly this role.
"Research Scientist, London",Goodfire,ai-research,285750,3,MKS Partners,B,"UK firm whose frontier-AI vertical covers foundational-model and alignment research at frontier labs, fitting a London research scientist."
"Research Scientist, London",Goodfire,ai-research,285750,4,Codesearch AI,B,London-based specialist AI search placing ML researchers and research engineers into top labs.
"Research Scientist, London",Goodfire,ai-research,285750,5,ESPSG AI,B,UK AI/ML boutique with a named Applied AI Research line reaching London research-engineering talent.
Machine Learning Engineer,SL5 Task Force,ai-research,275000,1,Lateral Labs,A,SF-based ML/AI-research recruiter built for ML IC roles at frontier startups — exact function and location.
Machine Learning Engineer,SL5 Task Force,ai-research,275000,2,Tykhe,B,"Bay-Area (Fremont) AI/ML search placing research/ML engineers, locally on-target for an SF ML engineer."
Machine Learning Engineer,SL5 Task Force,ai-research,275000,3,Vector,B,"US recruiter that hires ML engineers for early-stage AI startups, matching a mid ML-engineer IC role."
Machine Learning Engineer,SL5 Task Force,ai-research,275000,4,Stellar Search,B,US (NY/SF) AI-startup recruiter with an Applied AI & ML practice covering ML-engineer ICs.
Machine Learning Engineer,SL5 Task Force,ai-research,275000,5,Riviera Partners,B,SF firm with a genuine ML/AI IC arm (via Lateral Labs) reaching Bay-Area ML engineers.
Network Engineer,SL5 Task Force,cyber-offensive,275000,1,RedBlue Security,A,"Offensive/defensive security-engineering boutique with US reach, covering a security-focused network engineer."
Network Engineer,SL5 Task Force,cyber-offensive,275000,2,Hamilton Barnes,B,Enterprise-networking-heritage cyber firm — a direct match for a network engineer — with North America coverage.
Network Engineer,SL5 Task Force,cyber-offensive,275000,3,C-Serv,B,"US-staffed tech firm that explicitly recruits Networking and Cybersecurity, fitting a network security engineer."
Network Engineer,SL5 Task Force,cyber-offensive,275000,4,Code Red Partners,B,SF-headquartered security-team builder placing security engineers locally in the Bay Area.
Network Engineer,SL5 Task Force,cyber-offensive,275000,5,Adeptis Group,B,Global cyber recruiter covering security and infrastructure with US reach for a Bay-Area network engineer.
"Staff Research Scientist, AI Safety",Biohub,ai-research,271000,1,Lateral Labs,A,"US ML/AI-research recruiter placing research scientists (pre/post-training, evals), fitting a staff AI-safety researcher."
"Staff Research Scientist, AI Safety",Biohub,ai-research,271000,2,Stellar Search,B,US firm with an NY office and a Research Engineers & Scientists practice — geographically and functionally on-target.
"Staff Research Scientist, AI Safety",Biohub,ai-research,271000,3,Tykhe,B,"US AI/ML search placing research scientists and trust-&-safety/alignment-adjacent talent, matching the AI-safety focus."
"Staff Research Scientist, AI Safety",Biohub,ai-research,271000,4,Vector,B,"US recruiter that explicitly places the research/research-engineering profile (eval methodology), fitting a staff research scientist."
"Staff Research Scientist, AI Safety",Biohub,ai-research,271000,5,Riviera Partners,B,"US firm whose ML/AI-research arm reaches senior/staff research scientists nationally, including NY."
"Forward Deployed Engineer, Product",Apollo Research,cyber-offensive,256000,1,RedBlue Security,A,Global offensive boutique (US + London roots) placing security engineers across both hub locations.
"Forward Deployed Engineer, Product",Apollo Research,cyber-offensive,256000,2,Code Red Partners,B,"Global security-team builder with US and UK presence placing hands-on security engineers, fitting a dual-location role."
"Forward Deployed Engineer, Product",Apollo Research,cyber-offensive,256000,3,C-Serv,B,Global firm (London + US) covering Software Engineering and Cybersecurity for a security-minded product engineer.
"Forward Deployed Engineer, Product",Apollo Research,cyber-offensive,256000,4,Stott and May,B,"Recruitment arm with London and US offices placing security/AppSec engineers, matching a product security engineer."
"Forward Deployed Engineer, Product",Apollo Research,cyber-offensive,256000,5,Hamilton Barnes,B,Global cyber firm (London/Europe/NA) placing security and DevSecOps engineers across both locations.
"Software Engineer, Product, Full-Stack",Apollo Research,cyber-offensive,256000,1,RedBlue Security,A,Global offensive/defensive security-engineering boutique spanning US and London for a security-adjacent full-stack role.
"Software Engineer, Product, Full-Stack",Apollo Research,cyber-offensive,256000,2,C-Serv,B,"Global firm explicitly covering Software Engineering and Cybersecurity across London and US, apt for a full-stack product engineer."
"Software Engineer, Product, Full-Stack",Apollo Research,cyber-offensive,256000,3,Code Red Partners,B,"Global security-team builder with US/UK reach placing security engineers, fitting a product full-stack engineer with infosec."
"Software Engineer, Product, Full-Stack",Apollo Research,cyber-offensive,256000,4,Stott and May,B,"London+US recruitment arm placing AppSec/security engineers, matching a full-stack product engineer with security context."
"Software Engineer, Product, Full-Stack",Apollo Research,cyber-offensive,256000,5,Hamilton Barnes,B,Global cyber recruiter (London/Europe/NA) placing security and DevSecOps engineers across both hubs.
Head of Guidance and Preparedness,AI Whistleblower Initiative,ai-research,250000,1,Riviera Partners,B,SF technology-leadership executive-search firm with a Head of AI/ML/Data practice — exact seniority and location for a 'Head of' role.
Head of Guidance and Preparedness,AI Whistleblower Initiative,ai-research,250000,2,Lateral Labs,A,"SF ML/AI-research firm that spans ICs to leadership, reaching a Head-level hire at an AI org."
Head of Guidance and Preparedness,AI Whistleblower Initiative,ai-research,250000,3,Tykhe,B,"US AI/ML search that explicitly places Heads of AI, fitting a leadership hire."
Head of Guidance and Preparedness,AI Whistleblower Initiative,ai-research,250000,4,Stellar Search,B,US (SF/NY) recruiter covering founding and leadership hires at AI startups.
Head of Guidance and Preparedness,AI Whistleblower Initiative,ai-research,250000,5,Vector,B,"US ML recruiter spanning ICs to leadership plus GTM, able to reach a strategy-and-management Head role."
"Member of Technical Staff, Design Engineering",AI Digest,ai-research,250000,1,Lateral Labs,A,"AI-native recruiter covering product/infrastructure/engineering, fitting a design-engineering MTS; remote-global flexible."
"Member of Technical Staff, Design Engineering",AI Digest,ai-research,250000,2,Stellar Search,B,US AI-startup recruiter with a Founding & Product Engineers practice — a close match for design/product engineering.
"Member of Technical Staff, Design Engineering",AI Digest,ai-research,250000,3,Vector,B,"US recruiter building ML-informed product teams, apt for a design-engineering role."
"Member of Technical Staff, Design Engineering",AI Digest,ai-research,250000,4,ESPSG AI,B,AI/ML boutique covering AI engineering and AI systems for a technical design-engineering hire.
"Member of Technical Staff, Design Engineering",AI Digest,ai-research,250000,5,Understanding Recruitment,B,"Software-engineering house with a named ML/AI vertical, covering front-end/product design engineering for a remote-global role."
"Member of Technical Staff, Engineering",AI Digest,ai-research,250000,1,Lateral Labs,A,"AI-native recruiter for ML/engineering/infra roles at frontier orgs — exact function, remote-global flexible."
"Member of Technical Staff, Engineering",AI Digest,ai-research,250000,2,Thayon,A,"Frontier-AI search placing research and inference engineers, fitting an engineering MTS."
"Member of Technical Staff, Engineering",AI Digest,ai-research,250000,3,Axica,A,"Single-discipline ML firm placing ML engineers, matching an engineering MTS."
"Member of Technical Staff, Engineering",AI Digest,ai-research,250000,4,ESPSG AI,B,"AI/ML boutique focused on production ML, infra and LLM engineering for an engineering MTS."
"Member of Technical Staff, Engineering",AI Digest,ai-research,250000,5,Vector,B,"US recruiter placing ML engineers and ML-platform talent, apt for an engineering MTS."
"Member of Technical Staff, Research Scientist",AI Digest,ai-research,250000,1,Thayon,A,"Frontier-AI search placing research scientists with named lab pedigree — exact function, remote-global flexible."
"Member of Technical Staff, Research Scientist",AI Digest,ai-research,250000,2,Axica,A,"ML-research firm with dedicated research-scientist and alignment practices, a bullseye for a research-scientist MTS."
"Member of Technical Staff, Research Scientist",AI Digest,ai-research,250000,3,Lateral Labs,A,AI-native recruiter placing fundamental-research scientists at frontier orgs.
"Member of Technical Staff, Research Scientist",AI Digest,ai-research,250000,4,MKS Partners,B,Firm whose frontier-AI vertical covers foundational-model and alignment research for research-scientist hires.
"Member of Technical Staff, Research Scientist",AI Digest,ai-research,250000,5,Codesearch AI,B,"Specialist AI search placing ML researchers into top labs, fitting a research-scientist MTS."
Founding Member of Technical Staff,Sampura Research,ai-research,247650,1,Thayon,A,UK frontier-AI search placing researchers and engineers in London — exact function and location for a founding MTS.
Founding Member of Technical Staff,Sampura Research,ai-research,247650,2,Axica,A,"UK ML-research firm covering research scientists and ML engineers, fitting a London founding technical hire."
Founding Member of Technical Staff,Sampura Research,ai-research,247650,3,Codesearch AI,B,"London-based AI search with an Applied AI Startups vertical, apt for a founding MTS at a research startup."
Founding Member of Technical Staff,Sampura Research,ai-research,247650,4,MKS Partners,B,UK frontier-AI firm covering foundational research and ML engineering for a London founding technical staffer.
Founding Member of Technical Staff,Sampura Research,ai-research,247650,5,ESPSG AI,B,UK AI/ML boutique spanning research engineering and ML systems for a founding technical hire.
AI Security Researcher,Apollo Research,cyber-offensive,247000,1,RedBlue Security,A,"Offensive boutique placing security researchers/VR talent across US and London, fitting an AI security researcher."
AI Security Researcher,Apollo Research,cyber-offensive,247000,2,C-Serv,B,"Global firm that explicitly sources adversarial-ML engineers and ML researchers alongside cybersecurity, spanning US and London."
AI Security Researcher,Apollo Research,cyber-offensive,247000,3,Code Red Partners,B,"Global cybersecurity+AI+defense search with US/UK reach, apt for the AI-security-research intersection."
AI Security Researcher,Apollo Research,cyber-offensive,247000,4,Hamilton Barnes,B,"Global cyber firm placing pen-testers/red-teamers across London and North America, adjacent to AI security research."
Staff Software Engineer,Gray Swan,ai-research,245000,1,Lateral Labs,A,"AI-native recruiter placing engineering ICs at frontier AI orgs, fitting a staff SWE; US national reach for Pittsburgh."
Staff Software Engineer,Gray Swan,ai-research,245000,2,Vector,B,"US recruiter placing ML/software engineers at early-stage AI companies, apt for a staff SWE."
Staff Software Engineer,Gray Swan,ai-research,245000,3,Stellar Search,B,"US AI-startup recruiter placing founding/product engineers, matching a staff software engineer."
Staff Software Engineer,Gray Swan,ai-research,245000,4,Tykhe,B,US AI/ML search covering front/back-end and ML engineering for a staff SWE.
Staff Software Engineer,Gray Swan,ai-research,245000,5,Riviera Partners,B,US software-engineering executive/IC search with an ML/AI arm and national coverage for a Pittsburgh staff engineer.
"Research Scientist, Agent Robustness",Scale AI,ai-research,243000,1,Lateral Labs,A,"Purpose-built ML/AI-research IC search for frontier startups (Cursor, Scale AI-tier clients), placing exactly the research-scientist profile in the US where this NY/SF role sits."
"Research Scientist, Agent Robustness",Scale AI,ai-research,243000,2,Stellar Search (StellarSearch),B,"US-based, runs an explicit Research Engineers & Scientists practice into high-bar AI startups, matching this junior research-scientist opening."
"Research Scientist, Agent Robustness",Scale AI,ai-research,243000,3,Vector,B,"US ML-hire specialist whose most-emphasized profile is research/research-engineering (architectures, training, evaluation) — the core of agent-robustness work."
"Research Scientist, Agent Robustness",Scale AI,ai-research,243000,4,Tykhe (Tykhe Inc),B,"California AI/ML boutique that explicitly places AI research scientists plus trust-&-safety/alignment-adjacent talent, aligning with agent-robustness's safety flavor."
"Research Scientist, Agent Robustness",Scale AI,ai-research,243000,5,Codesearch AI,B,"Places ML researchers and Staff research-engineer mandates directly into top labs, reaching the frontier research-scientist pool Scale AI draws from."
"Software Engineer, Infrastructure",Gray Swan,ai-research,235000,1,Lateral Labs,A,"ML-native search that covers infrastructure and engineering (not just research), US-based for this Pittsburgh/Remote-USA infra role."
"Software Engineer, Infrastructure",Gray Swan,ai-research,235000,2,Vector,B,US firm that explicitly builds ML-platform/infrastructure teams for early-stage AI companies like Gray Swan.
"Software Engineer, Infrastructure",Gray Swan,ai-research,235000,3,DeepRec.ai,B,"Global AI recruiter with a named AI-Infrastructure/MLOps line, squarely the infra-engineering function here."
"Software Engineer, Infrastructure",Gray Swan,ai-research,235000,4,Understanding Recruitment,B,"Large software-engineering house with a dedicated ML/AI vertical and US arm, strong for a general software-infra IC."
"Software Engineer, Infrastructure",Gray Swan,ai-research,235000,5,Stellar Search (StellarSearch),B,"US AI-startup specialist placing applied-ML, founding and product engineers — the infra-SWE band this role targets."
"Member of Technical Staff, Frontier Robotics Evals",Robocurve,ai-research,225000,1,DeepRec.ai,B,One of the few with an explicit Robotics & Embodied AI discipline alongside research-engineer placement — a direct hit for a robotics-evals MTS.
"Member of Technical Staff, Frontier Robotics Evals",Robocurve,ai-research,225000,2,Codesearch AI,B,"Names Robotics & Autonomous Systems as a core vertical and places research engineers into top labs, matching this research/engineering blend."
"Member of Technical Staff, Frontier Robotics Evals",Robocurve,ai-research,225000,3,Lateral Labs,A,"US ML/AI-research search spanning research and engineering ICs for frontier startups, fitting the SF-based MTS profile."
"Member of Technical Staff, Frontier Robotics Evals",Robocurve,ai-research,225000,4,Vector,B,US firm placing the research/research-engineering profile where lab pedigree matters — the standard for frontier-evals staff.
"Member of Technical Staff, Frontier Robotics Evals",Robocurve,ai-research,225000,5,Stellar Search (StellarSearch),B,"US AI-startup recruiter with a Research Engineers & Scientists plus founding-engineer practice, covering the multi-level MTS band."
Research Manager,Center for AI Safety,ai-research,215000,1,Lateral Labs,A,"US ML/AI search that explicitly spans ICs to leadership, able to source a research manager over engineering-literate researchers."
Research Manager,Center for AI Safety,ai-research,215000,2,Riviera Partners,B,Technology-leadership executive-search firm now with a dedicated AI/ML/Data practice (via Lateral Labs) — built for management-level AI hires.
Research Manager,Center for AI Safety,ai-research,215000,3,Codesearch AI,B,"Places researchers, engineers and leaders into top labs, reaching the research-manager tier in a global pool."
Research Manager,Center for AI Safety,ai-research,215000,4,Vector,B,"US research/research-engineering specialist with lab-pedigree focus, reaching the lead-level researchers such a manager would run."
Research Manager,Center for AI Safety,ai-research,215000,5,Burtch Works,B,"US recruiter with an AI-Lab Build-Out line and leadership placements (AI Innovation Lead), fitting a management role at a safety lab like CAIS."
"Senior Software Engineer, AI Benchmarking",SecureBio,ai-research,212500,1,Lateral Labs,A,"US ML/AI search covering engineering and infrastructure ICs, right for a senior benchmarking-SWE across SF/Boston."
"Senior Software Engineer, AI Benchmarking",SecureBio,ai-research,212500,2,Vector,B,US firm that explicitly names evaluation methodology among its profiles — a direct match for an AI-benchmarking engineer.
"Senior Software Engineer, AI Benchmarking",SecureBio,ai-research,212500,3,Understanding Recruitment,B,"Software-engineering house with an ML/AI vertical and US reach, strong for a senior software-engineering IC."
"Senior Software Engineer, AI Benchmarking",SecureBio,ai-research,212500,4,Stellar Search (StellarSearch),B,"US AI-startup recruiter placing applied-ML and product/founding engineers, matching the senior-SWE band."
"Senior Software Engineer, AI Benchmarking",SecureBio,ai-research,212500,5,DeepRec.ai,B,"Global AI recruiter with ML-engineering and MLOps lines, covering the eval/benchmark-infrastructure engineering here."
Security Engineer,Apollo Research,cyber-offensive,210820,1,RedBlue Security,A,"Hands-on security boutique whose stated specialisms include offensive/defensive security engineering, global (US origin + London) to cover both SF and London legs."
