cell,firm,grade,geo,hq,what_they_place,source
cyber-offensive,Nicoll Curtin (cyber desk / BeecherMadden brand),C,global,"London, UK (Zurich, Singapore, New York)","Own-site blog quoting their own consultants: ""the rise in the demand for Cyber Threat Intelligence Analysts, Penetration Testers and Incident Response Managers/Specialists, Reverse Engineers and Malware Analysts/Specialists""; and ""we are hiring for a lot of Cyber Security, Security Architects and En",https://www.nicollcurtin.com/blogs/top-5-trends-shaping-cyber-security-hiring/
cyber-offensive,Harrington Starr,C,global,"London, UK (5 continents)","Own site: ""IT Risk & Cyber Security Recruitment Experts... Application Security, Security Architecture and Infrastructure Security... Cloud Security across AWS, Azure and GCP, DevSecOps, Security Operations and incident response... AI Security, Crypto Security and technology governance specialists.""",https://www.harringtonstarr.com/recruitment-capabilities/cyber-security/
cyber-offensive,Locke & McCloud (rebranding to REX / HI-REX),C,UK,United Kingdom (US presence),"Own site / press release: ""Cybersecurity recruitment specialist... helping organisations across the UK, Europe, and the United States build high-performing security teams... access to highly skilled cybersecurity professionals across a wide range of specialisms, from specialist consultants to perman",https://locke-mccloud.com/press-release
cyber-offensive,IntaPeople (STEM Recruitment),C,UK,"Cardiff, Wales, UK","Own site: ""more than just an IT and engineering recruitment agency... vertical markets including software development, life sciences, cybersecurity, engineering and IT infrastructure."" Cyber consultant (own profile): ""Key areas I recruit across: Security Operations (SOC, SIEM, Detection & Response);",https://www.intapeople.com/about-us/
ai-research,Thayon,A,UK,"London, UK","""We connect frontier AI researchers and engineers with work worth doing."" A ""founder-led, data-driven talent search firm"" making placements from DeepMind, FAIR, Cohere and Nvidia (roles shown include Inference Engineer). Founder Joe Nyiri: ""deeply embedded in the frontier AI talent market... One of ",https://thayon.com/
ai-research,Axica,A,UK,United Kingdom,"""We place machine learning engineers, research scientists, and applied AI leaders... One practice, one discipline."" Nine specialities include ""Research Scientists — PhD-calibre researchers for frontier labs, industry research groups, and post-training teams"" and ""AI Safety & Alignment — researchers ",https://axica-recruitment.com/
ai-research,Lateral Labs,A,US,"San Francisco, US","""Bespoke hiring solutions for AI startups... ML is our specialty... we cover every key ML function and adjacent areas, from ICs to leadership. Whether it's fundamental research, product, infrastructure, or engineering."" Riviera's release: its models ""meet the specific demands of machine learning and",https://lateral-labs.com/
ai-research,DeepRec.ai,B,global,United Kingdom (Trinnovo Group),"Consultants specialise in ""Research, GenAI & Agentic Systems, Machine Learning, Computer Vision, AI Infrastructure, Quantum Computing, Robotics & Embodied AI, AI4Science."" Live own-site roles: ""Machine Learning Research Engineer,"" ""Deep Learning Research Engineer,"" ""Senior Deep Learning Research Sci",https://www.deeprec.ai/disciplines/machine-learning
ai-research,Tykhe (Tykhe Inc),B,US,"Fremont, California, US","Own site: ""We at Tykhe specialize in AI/ML, Data, Product and Engineering recruitment."" Boutique AI/ML search for startups; its published talent list names ""AI Research Engineers/Scientists, Speech Research Engineers, Vision Research Engineers, AI Trust & Safety Engineers, Heads of AI, Multimodal AI",https://tykheincorp.com/employers/
ai-research,Codesearch AI,B,global,"London, UK (+ Dubai, Aarhus)","""Specialist AI search firm operating at the frontier of ML Research and Applied AI — placing elite talent across Systematic & Quantitative Finance, Robotics & Autonomous Systems, Applied AI Startups, and Enterprise AI Transformation... researchers, engineers, and leaders."" Own about-us: ""We work exc",https://www.code-search.ai/about-us
ai-research,ESPSG AI,B,UK,"London, UK","""Boutique specialist recruitment firm focused exclusively on artificial intelligence and machine learning engineering roles."" Verticals: ""Machine Learning (production ML systems, model training and deployment), Computer Vision, LLM Engineering, AI Infrastructure, Applied AI Research (cutting edge re",https://www.espsg.ai/
ai-research,MKS Partners,B,UK,United Kingdom,"""Specialist search firm at the intersection of frontier AI and quantitative finance."" Frontier AI & ML vertical: ""from foundational model research to applied ML engineering at scale"" tagged ""LLM Research, RL/RLHF, Gen AI, ML Engineering, AI Safety""; rotating specialisms explicitly include ""RLHF & Al",https://mkspartners.co.uk/
ai-research,Vector,B,US,United States,"""Vector hires machine learning engineers for early-stage AI and infrastructure startups. We build research, applied ML, ML platform and ML-informed product teams."" First of four named profiles: ""Research and research engineering. Advancing model capability itself: architectures, training regimes, pr",https://withvector.io/hiring-machine-learning-engineers/
ai-research,Stellar Search (StellarSearch),B,US,"New York / San Francisco, US","Early-stage AI startups (Seed–Series C). Named category: ""Research — Research Engineers & Scientists — Researchers and engineers pushing model capabilities forward and turning new approaches into real-world systems,"" alongside ""Applied AI & Machine Learning"" and ""Founding & Product Engineers,"" plus ",https://www.stellarsearch.ai/
ai-research,Higher (Higher Search),B,UK,"London (South Bank), UK","""AI and data science executive recruitment... over 10 years' experience in AI, ML and data science recruitment."" Own-site placements include ""Senior Research Scientist (3D AI),"" ""Applied Researcher,"" ""Head of Machine Learning,"" ""Senior Machine Learning Engineer"" — but the bulk are leadership/data (V",https://www.highersearch.co/our-approach
ai-research,Riviera Partners,B,global,"San Francisco, US","Own site: ""the leading executive search firm... focused on placing leadership talent in the crucial areas of product management, software engineering, IT, AI/ML/data, security, and design"" (CTO/VP Engineering/C-suite). Since acquiring Lateral Labs (June 2026) it also delivers technical search that """,https://www.rivierapartners.com/insights/riviera-partners-acquires-lateral-labs-expanding-its-ai-and-machine-learning-talent-search-and-placement-capabilities/
ai-research,Understanding Recruitment,B,global,United Kingdom (+ US via Acceler8 Talent),"Dedicated ""Planet Machine Learning & AI"" practice: ""at the forefront of the booming Machine Learning and AI market, enabling numerous companies to scale up in Machine Learning Research and Engineering, as well as Data Science and Engineering."" Sits inside a 90+ recruiter software house (Java, JavaSc",https://www.understandingrecruitment.com/verticals/ai-recruitment/
ai-research,Harnham,B,global,"London, UK (+ US, EU)","""The global leader in Data & AI."" Full data & AI lifecycle across ""Data Science, Machine Learning & AI,"" ""Deep Learning & AI,"" ""Computer Vision,"" ""Advanced Analytics,"" ""Data Engineering,"" ""Marketing & Insight,"" ""Risk Analytics,"" plus exec search, contract, grad training (Rockborne) and AI consulting",https://www.harnham.com/
ai-research,Burtch Works,B,US,United States,"""U.S.-based talent partner that fuses 15 years of analytics recruiting expertise with today's most in-demand AI skill sets"" across six lines: ""AI-Lab Build-Out, RLHF & Alignment (deploy human-in-the-loop trainers to align models), Gen-AI Implementation, Data Science & Analytics, MLOps & Platform Eng",https://www.burtchworks.com/
ai-research,X4 Technology (X4 Group),C,global,United Kingdom,"Generalist engineering/tech staffing: live roles are Transmission Design Engineer, Linux Kernel Engineer, Embedded Software Engineer, Field Telecoms Engineer, plus Business Development / Sales reps. LinkedIn disciplines list ""machine learning & data science"" among network & infrastructure, hardware ",https://www.x4-technology.com/us/job-search/
nonprofit-ops-exec,Phillips Oppenheim,A,US,"New York, NY, USA","Principal Mark J. Tarnacki bio: 'an extensive track record of success recruiting Chief Executives, COOs and CFOs for a broad range of clients including... philanthropy, museums and other cultural institutions and environmental, conservation and preservation organizations.' Firm: 'an executive search",https://www.phillipsoppenheim.com/our-team/mark-j-tarnacki/14/
nonprofit-ops-exec,Scion Executive Search,A,US,"San Francisco, CA, USA (national)","'place transformative CEOs, Executive Directors, CFOs, COOs, and senior leaders across development, human resources, operations, programs, marketing, legal, technology, and more' for nonprofits, foundations, educational institutions and associations.",https://scionexecutivesearch.com/
nonprofit-ops-exec,LeaderFit,A,US,"Washington, DC, USA (national)","'From executive leadership to senior functional roles' — named functions on their search page: 'Executive Director/CEO, Finance, Operations, Communications, Development, Programs, Technology, People/Talent, Policy, External Affairs, Strategic Planning, Governance.' Recent placements include multiple",https://leaderfit.org/home/executive-search/
nonprofit-ops-exec,Robertson Bell,A,UK,"London, UK","Live roles are finance-function for charities and not-for-profits: 'Head of Finance', 'Financial Controller', 'Finance Business Partner', 'Head of Planning and Reporting', 'Interim Financial Controller'. 'true specialists in your field... recruitment partner of choice for Public and Not for Profit S",https://www.robertsonbell.co.uk/
nonprofit-ops-exec,Impact Ops,B,UK,"Remote-first, UK-based (global)","'Our services include finance, recruitment, entity setup, due diligence, ops audit, and systems implementation.' Runs client hiring: 'We helped Arkose hire an Operations Lead by collaborating to design assessments and mark schemes.' Clients 'work on AI safety, alignment, and governance challenges.'",https://impact-ops.org/
nonprofit-ops-exec,Cooper Coleman,B,US,"Chicago, IL, USA (national)","'We lead searches for executive and senior leadership roles where judgment, alignment, and long-term fit matter most' across the nonprofit and social impact sector. Founders describe themselves 'As nonprofit executives and fundraisers.'",https://www.coopercoleman.com/about
nonprofit-ops-exec,Sandler Search,B,US,"New York, NY, USA (national/international)","'we place nonprofit executives across the country and around the globe' with 'a solid and extensive track record of placing successful senior executives' for nonprofits, academic institutions and foundations; 'partnering with clients to enhance executive teams.'",https://sandlersearch.org/about-us/
nonprofit-ops-exec,Stacy Nelson & Associates,B,US,"San Francisco Bay Area, CA, USA","'Our executive search practice is primarily focused on leadership level hiring' for nonprofits and philanthropy; 'core recruiters include former Executive Directors, Program Directors, Human Resource Professionals and Recruiters.'",https://stacynelsonassociates.com/
nonprofit-ops-exec,On-Ramps,B,US,"New York, NY, USA","'On-Ramps is a search and consulting firm that serves mission-driven organizations in the social sector.' Services: nonprofit recruiting & executive search, 'Nonprofit CEO / Executive Director Recruiting,' and nonprofit talent consulting.",https://www.on-ramps.com/nonprofit-recruiting-and-executive-search
nonprofit-ops-exec,DSG | Koya (Koya Partners),B,US,"Boston/New York, USA (national)","'DSG | Koya is the nation's premier search firm dedicated to mission-driven leadership'; places 'values-driven leaders' across nonprofit and social impact incl. 'Foundations and Philanthropy... engaging with clients in public, private, and family foundations... through leadership transitions.'",https://www.dsgco.com/industry/nonprofit-and-social-impact/
nonprofit-ops-exec,NPAG (Nonprofit Professionals Advisory Group),B,US,USA (national/global),"'executive search services that are tailored to client needs, equity-centered' for 'a broad range of foundations and nonprofits'; 'completed over 1,400 searches nationally and globally over nearly 25 years'; supports 'healthy, equity-centered leadership transitions.'",https://www.npag.com/our-approach
nonprofit-ops-exec,Harris Hill,B,UK,"London, UK","'a charity recruitment specialist in the UK, specializing in fundraising, marketing, finance, and CEOs'; executive search 'appointing charity CEOs, chairs, trustees and other board-level positions'; teams 'specialise... by department or job function too.'",https://www.harrishill.co.uk/executive
nonprofit-ops-exec,Prospectus,B,UK,"London, UK","'We recruit across all departments, including finance, marketing, grant-making and programme delivery.' Named specialist teams are 'fundraising, governance, and global development'; executive search 'specialises in charity board recruitment and governance, appointing cross-sector leaders to non-exec",https://www.prospect-us.co.uk/our-services/
nonprofit-ops-exec,OE Consulting (formerly Schaffer&Combs),B,US,"San Francisco, CA, USA","'Whether we are placing a CEO, facilitating a strategic plan, or redesigning organizational structures, our work produces clarity and trust'; team includes a 'search executive' and a consultant who 'has been a CEO and a COO' plus a 'Consultant: Finance, Growth, Culture.' Serves 'purpose driven compa",https://oeconsulting.com/about-us-meet-the-team/
nonprofit-ops-exec,Chaloner,B,US,"Boston, MA / national, USA","'We place outstanding talent at all levels' and 'partner exclusively with mission-driven organizations'; advisory 'define roles, responsibilities, and team structures.' Featured placements/testimonials skew to President, Communications Manager and Major Gifts Officer roles.",https://www.chaloner.com/services
