icp_category,supply_cell,salary_mid_usd,title,org,location,experience,salary_text,role_type,posted,skills,icp_reason,description,source
A,cyber-offensive,325000,Head of AI Red Teaming,"Trajectory Labs, PBC","San Francisco Bay Area, USA",Mid (5–9 years experience),"$250,000 – $400,000",Full-time,14 August 2026,"Strategy, Management, Information security","real vacancy, $325,000 mid, market exists (cyber-offensive)","Manage the prompt injection red-teaming operation end to end, delivering safer models for frontier labs.",aisafety.com
A,ai-research,325000,"Tech Lead, AI Safety","Trajectory Labs, PBC","San Francisco Bay Area, USA",Mid (5–9 years experience),"$250,000 – $400,000",Full-time,31 July 2026,"Software engineering, Management","real vacancy, $325,000 mid, market exists (ai-research)",Lead a team designing critical safety and alignment evaluations for frontier AI labs.,aisafety.com
A,cyber-offensive,312500,"Member of Technical Staff, Secure Intelligence Institute",Perplexity,"San Francisco Bay Area, USA",Junior (1–4 years experience),"$220,000 – $405,000",Full-time,13 August 2026,"Research, Information security","real vacancy, $312,500 mid, market exists (cyber-offensive)","Conduct original research on security and privacy of frontier AI systems, translating findings into practical improvements.",aisafety.com
A,cyber-offensive,300000,"Head of Evaluations, AI Red Teaming","Trajectory Labs, PBC","San Francisco Bay Area, USA",Senior (10+ years experience),"$200,000 – $400,000",Full-time,31 August 2026,"Strategy, Software engineering, Information security","real vacancy, $300,000 mid, market exists (cyber-offensive)","Own the evaluation pipeline for prompt injection red-teaming, ensuring quality standards for what ships to frontier lab customers.",aisafety.com
A,cyber-offensive,300000,Member of Technical Staff,Artificial Intelligence Underwriting Company,"San Francisco Bay Area, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$200,000 – $400,000",Full-time,6 August 2026,"Software engineering, Information security","real vacancy, $300,000 mid, market exists (cyber-offensive)","Lead thered-teaming of AI agents end-to-end, from technical scoping through certification and remediation.",aisafety.com
A,cyber-offensive,290000,Infrastructure Lead,Intelligence Security Laboratories,"Washington, DC metro area, USA",Mid (5–9 years experience),"$205,000 – $375,000",Full-time,20 August 2026,"Software engineering, Information security, Management","real vacancy, $290,000 mid, market exists (cyber-offensive)","Design, deploy, secure, and maintain the IT and network infrastructure the organization runs on.",aisafety.com
A,ai-research,285750,"Research Scientist, London",Goodfire,"London, UK",Junior (1–4 years experience),"£150,000 – £300,000",Full-time,7 August 2026,"Research, Software engineering","real vacancy, $285,750 mid, market exists (ai-research)",Conduct original research in interpretability to understand and steer large AI models.,aisafety.com
A,ai-research,275000,Machine Learning Engineer,SL5 Task Force,"San Francisco Bay Area, USA",Mid (5–9 years experience),"Base: $200,000 – $350,000",Full-time,18 August 2026,"Research, Software engineering","real vacancy, $275,000 mid, market exists (ai-research)",Designexperiments measuring Security Level 5 controls' impact on frontier AI research and engineering.,aisafety.com
A,cyber-offensive,275000,Network Engineer,SL5 Task Force,"San Francisco Bay Area, USA",Mid (5–9 years experience),"Base: $200,000 – $350,000",Full-time,18 August 2026,Information security,"real vacancy, $275,000 mid, market exists (cyber-offensive)",Designand operate the network fabric for a Security Level 5 datacenter defending frontier AI from nation-state threats.,aisafety.com
A,ai-research,271000,"Staff Research Scientist, AI Safety",Biohub,"New York, NY, USA",Mid (5–9 years experience),"$241,000 – $301,000",Full-time,25 August 2026,Research,"real vacancy, $271,000 mid, market exists (ai-research)",Develop safety evaluations and safeguards for frontier AI systems applied to biological research.,aisafety.com
A,cyber-offensive,256000,"Forward Deployed Engineer, Product",Apollo Research,"San Francisco Bay Area, USALondon, UK","Junior (1–4 years experience), Mid (5–9 years experience)","$222,000 – $290,000; £149,000 – £195,000",Full-time,31 August 2026,"Software engineering, Information security, Strategy","real vacancy, $256,000 mid, market exists (cyber-offensive)","Own customer deployments, integrations, and support for Watcher across the entire lifecycle.",aisafety.com
A,cyber-offensive,256000,"Software Engineer, Product, Full-Stack",Apollo Research,"San Francisco Bay Area, USALondon, UK",Mid (5–9 years experience),"$222,000 – $290,000; £149,000 – £195,000",Full-time,31 August 2026,"Software engineering, Information security, Strategy","real vacancy, $256,000 mid, market exists (cyber-offensive)","Build and scale Watcher, a coding agent security product, owning full-stack features.",aisafety.com
A,ai-research,250000,Head of Guidance and Preparedness,AI Whistleblower Initiative,"San Francisco Bay Area, USA","Mid (5–9 years experience), Senior (10+ years experience)","$250,000",Full-time,28 August 2026,"Research, Strategy, Management","real vacancy, $250,000 mid, market exists (ai-research)",Develop guidance for AI insiders raising safety concerns and close gaps in the whistleblowing ecosystem.,aisafety.com
A,ai-research,250000,"Member of Technical Staff, Design Engineering",AI Digest,Remote (Global),Multiple experience levels,"$150,000 – $350,000",Full-time,25 August 2026,"Software engineering, Other","real vacancy, $250,000 mid, market exists (ai-research)",Leadthe redesign of the AI Village website to help readers rapidly discover and explore compelling research findings.,aisafety.com
A,ai-research,250000,"Member of Technical Staff, Engineering",AI Digest,Remote (Global),Multiple experience levels,"$150,000 – $350,000",Full-time,25 August 2026,Software engineering,"real vacancy, $250,000 mid, market exists (ai-research)","Help build and scale the AI Village, an interactive platform studying frontier AI agents on long-term goals.",aisafety.com
A,ai-research,250000,"Member of Technical Staff, Research Scientist",AI Digest,Remote (Global),Multiple experience levels,"$150,000 – $350,000",Full-time,25 August 2026,Research,"real vacancy, $250,000 mid, market exists (ai-research)","Leadresearch to uncover insights about AI capabilities, behaviours, and emergent dynamics using AI Village data.",aisafety.com
A,ai-research,247650,Founding Member of Technical Staff,Sampura Research,"London, UK",Multiple experience levels,"£100,000 – £290,000",Full-time,28 August 2026,"Research, Software engineering","real vacancy, $247,650 mid, market exists (ai-research)",Shape research and engineering for AI safety by improving human/AI judges for model alignment and evaluation.,aisafety.com
A,cyber-offensive,247000,AI Security Researcher,Apollo Research,"San Francisco Bay Area, USALondon, UK",Mid (5–9 years experience),"$214,000 – $280,000; £144,000 – £188,000",Full-time,31 August 2026,"Information security, Research","real vacancy, $247,000 mid, market exists (cyber-offensive)","Identify, research, and remediate conventional and novel threats from AI agents at Apollo.",aisafety.com
A,ai-research,245000,Staff Software Engineer,Gray Swan,"Pittsburgh, PA, USA",Mid (5–9 years experience),"$210,000 – $280,000",Full-time,3 August 2026,Software engineering,"real vacancy, $245,000 mid, market exists (ai-research)",Build end-to-end web applicationsand integrate AI experiences across the full technology stack.,aisafety.com
A,ai-research,243000,"Research Scientist, Agent Robustness",Scale AI,"New York, NY, USASan Francisco Bay Area, USA",Junior (1–4 years experience),"$216,000 – $270,000",Full-time,27 August 2026,Research,"real vacancy, $243,000 mid, market exists (ai-research)","Conduct technical research on AI agent robustness, safety, and alignment with humans.",aisafety.com
A,ai-research,235000,"Software Engineer, Infrastructure",Gray Swan,"Pittsburgh, PA, USARemote (USA)",Mid (5–9 years experience),"$180,000 – $290,000",Full-time,3 August 2026,Software engineering,"real vacancy, $235,000 mid, market exists (ai-research)",Design andmaintain the backend infrastructure and distributed systems powering Gray Swan's AI security platform.,aisafety.com
A,ai-research,225000,"Member of Technical Staff, Frontier Robotics Evals",Robocurve,"San Francisco Bay Area, USA",Multiple experience levels,"$150,000 – $300,000",Full-time,26 August 2026,"Research, Software engineering","real vacancy, $225,000 mid, market exists (ai-research)",Design robotics benchmarks and run evaluations of frontier AI models on real robots.,aisafety.com
A,ai-research,215000,Research Manager,Center for AI Safety,"San Francisco Bay Area, USA","Mid (5–9 years experience), Senior (10+ years experience)","$170,000 – $260,000",Full-time,21 July 2026,"Research, Management, Software engineering","real vacancy, $215,000 mid, market exists (ai-research)",Lead research as a senior manager solving hard problems and translating strategic vision into team execution.,aisafety.com+80k-orgpage
A,ai-research,212500,"Senior Software Engineer, AI Benchmarking",SecureBio,"San Francisco Bay Area, USABoston metro area, USA",Mid (5–9 years experience),"$180,000 – $245,000",Full-time,29 July 2026,Software engineering,"real vacancy, $212,500 mid, market exists (ai-research)",Build and scale biosecurity evaluations on frontier AI systems to measure dual-use biology risks and inform safety decisions.,aisafety.com+80k-orgpage
A,cyber-offensive,212000,AI Security and Control Engineer,Apollo Research,"London, UK (visa sponsorship)",mid,£135-200k,permanent,,,Real permanent security/cyber vacancy at roughly $212k midpoint in a function with a deep recruiter market.,Engineer securing and controlling advanced AI systems and research infrastructure.,80k-orgpage
A,cyber-offensive,210820,Security Engineer,Apollo Research,"San Francisco Bay Area, USALondon, UK",Mid (5–9 years experience),"$214,000 – $280,00; £144,000 – £188,000",Full-time,31 August 2026,"Information security, Software engineering","real vacancy, $210,820 mid, market exists (cyber-offensive)",Design and deploy security controls that protect Apollo's infrastructure and make the secure path the default.,aisafety.com
A,ai-research,210000,Alignment Scientist / Engineer,AE Studio,"Remote (Global)Los Angeles, CA, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$180,000 – $240,000",Full-time,31 August 2026,"Research, Software engineering","real vacancy, $210,000 mid, market exists (ai-research)","Conduct independent AI alignment research on pretraining, interpretability, and model safety approaches.",aisafety.com
A,nonprofit-ops-exec,210000,Alignment Research Manager,AE Studio,"Remote (Global)Los Angeles, CA, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$180,000 – $240,000",Full-time,31 August 2026,"Strategy, Management","real vacancy, $210,000 mid, market exists (nonprofit-ops-exec)","Manage research projects end-to-end, turning abstract ideas into clear roadmaps and keeping teams unblocked and moving fast.",aisafety.com
A,cyber-offensive,210000,"Engineering Manager, Red Team",FAR AI,Remote (Global),Mid (5–9 years experience),"$170,000 – $250,000",Full-time,25 August 2026,"Management, Software engineering, Information security","real vacancy, $210,000 mid, market exists (cyber-offensive)",Lead engineering to build scalable red-teaming systems for testing frontier AI model safeguards.,aisafety.com+80k-orgpage
A,nonprofit-ops-exec,210000,"Director, Site Services",Constellation,"San Francisco Bay Area, USA",Senior (10+ years experience),"$180,000 – $240,000",Full-time,30 July 2026,"Operations, Strategy, Management","real vacancy, $210,000 mid, market exists (nonprofit-ops-exec)","Oversee site services spanning IT, security, facilities, and catering to enable AI safety research.",aisafety.com+80k-orgpage
A,ai-research,210000,Research Lead,FAR AI,"Remote, Global",senior,$170-250k,permanent,,,Permanent senior ai-research leadership vacancy at a $210k midpoint in a supplied market at a fee-open employer.,Research lead directing an AI safety research agenda at FAR AI.,80k-orgpage
A,cyber-offensive,210000,"Jailbreaking Lead, Red Team",FAR AI,"Remote, Global",senior,$170-250k,permanent,,,Permanent senior offensive-security vacancy at a $210k midpoint squarely in the cyber-offensive supply market at a fee-open employer.,Lead for jailbreaking/adversarial attacks on FAR AI's red team.,80k-orgpage
A,cyber-offensive,210000,Senior Security Engineer,Apollo Research,"London, UK (visa sponsorship)",senior,£130-200k,permanent,,,"Senior security vacancy at roughly $210k midpoint in the cyber function, which has a deep recruiter market.",Senior engineer securing Apollo's research infrastructure and model access.,80k-orgpage
A,ai-research,208500,Machine Learning Engineer,Gray Swan,"Pittsburgh, PA, USARemote (USA)Remote (Global)",Mid (5–9 years experience),"$160,000 – $257,000",Full-time,3 August 2026,"Research, Software engineering","real vacancy, $208,500 mid, market exists (ai-research)","Design anddeploy advanced ML models for AI safety, bridging research and production.",aisafety.com
A,legal,206500,"Assistant General Counsel, AI, Emerging Technologies, and Strategic Agreements",RAND Corporation,USA (not shown),mid,~$178-235k,permanent,,,"Real permanent legal vacancy above $130k midpoint, legal has a strong recruiter market, and RAND is not fee-closed.","In-house counsel for AI, emerging tech, and strategic agreements.",80k-orgpage
A,nonprofit-ops-exec,200000,Campus Operations Co-Lead,Lightcone Infrastructure,"San Francisco Bay Area, USA",Multiple experience levels,"$100,000 – $300,000",Full-time,24 August 2026,Operations,"real vacancy, $200,000 mid, market exists (nonprofit-ops-exec)","Manage operations at Lighthaven, a Berkeley campus hosting events, fellowships and conferences.",aisafety.com
A,nonprofit-ops-exec,200000,Chief of Staff,Alignment Research Center,"San Francisco Bay Area, USA",Mid (5–9 years experience),"$150,000 – $250,000",Full-time,5 August 2026,"Operations, Management","real vacancy, $200,000 mid, market exists (nonprofit-ops-exec)","Lead hiring, operations, governance, and organizational management as ARC rapidly scales.",aisafety.com+80k-orgpage
A,nonprofit-ops-exec,200000,Chief of Staff,The AI Policy,"Washington, DC metro area, USA",Mid (5–9 years experience),"$165,000 – $235,000",Full-time,4 August 2026,"Operations, Strategy","real vacancy, $200,000 mid, market exists (nonprofit-ops-exec)","NetworkExtend the Executive Director's capacity across operations, decision-making, and organisational scaling.",aisafety.com
A,cyber-offensive,200000,Red Team Engineer,Gray Swan,Remote (USA)Remote (Global),Junior (1–4 years experience),"$110,000 – $290,000",Full-time,3 August 2026,"Information security, Software engineering","real vacancy, $200,000 mid, market exists (cyber-offensive)","Design andexecute red teaming attacks on frontier AI systems, identifying vulnerabilities and translating findings into clear reports.",aisafety.com
A,ai-research,200000,Senior Software Engineer,GraySwan,"Pittsburgh, PA, USA",Mid (5–9 years experience),"$180,000 – $220,000",Full-time,3 August 2026,Software engineering,"real vacancy, $200,000 mid, market exists (ai-research)","Own full-stack development across frontend, backend APIs, and databases, turning ideas into production products.",aisafety.com
A,ai-research,200000,Senior Research Engineer,FAR AI,"Remote, Global",senior,$150-250k,permanent,,,Permanent senior AI-ML research engineering vacancy at a $200k midpoint in a strong recruiter market at a fee-open employer.,Senior research engineer building infrastructure for AI safety research.,80k-orgpage
A,comms-marketing,195000,Head of Communications and Public Relations,Apollo Research,"London, UK (visa sponsorship)",senior,$150-240k,permanent,,,"Real permanent vacancy, senior comms leadership at $195k midpoint in a function with an established recruiter market, employer not fee-closed.",Head-of-function communications and PR leadership for an AI safety evaluations lab.,80k-orgpage
A,nonprofit-ops-exec,193000,Head of People,Epoch AI,"Remote, Global",senior,$145-241k,permanent,,,Senior nonprofit operations leadership vacancy at a $193k midpoint in a function with a real recruiter market.,Head-of-function people/HR leadership for a growing research nonprofit.,80k-orgpage
A,nonprofit-ops-exec,190000,Head of Finance,MATS Research,"San Francisco Bay Area, USA",Senior (10+ years experience),"$160,000 – $220,000",Full-time,28 July 2026,"Operations, Finance","real vacancy, $190,000 mid, market exists (nonprofit-ops-exec)","Build MATS's financial function, owning accounting, budgeting, grants, payments, procurement, and strategy as the org scales 2x annually.",aisafety.com
A,ai-research,190000,"Research Scientist / Engineer, Evaluations",Apollo Research,"London, UK (visa sponsorship)",mid,£100-200k,permanent,,,Real AI-ML research engineering vacancy at roughly $190k midpoint with a deep recruiter market and no fee closure.,Research scientist/engineer building behavioural evaluations of frontier models.,80k-orgpage
A,ai-research,190000,"Research Scientist / Engineer, Science of Scheming",Apollo Research,"London, UK (visa sponsorship)",mid,£100-200k,permanent,,,Real AI-ML research engineering vacancy at roughly $190k midpoint in a well-supplied recruiter market.,Research scientist/engineer studying scheming and deception in advanced AI systems.,80k-orgpage
A,cyber-offensive,185000,"Specialist, Redteaming, Auditing, and Compliance",SL5 Task Force,"San Francisco Bay Area, USA",Mid (5–9 years experience),"$140,000 – $230,000",Full-time,18 August 2026,"Information security, Legal","real vacancy, $185,000 mid, market exists (cyber-offensive)",Developauditing protocols ensuring Security Level 5 standards can defend frontier AI against nation-state threats.,aisafety.com
A,nonprofit-ops-exec,185000,Recruiter,SL5 TaskForce,"San Francisco Bay Area, USA",Junior (1–4 years experience),"$150,000 – $220,000",Full-time,18 August 2026,Operations,"real vacancy, $185,000 mid, market exists (nonprofit-ops-exec)","Own the full recruiting cycle for a rapidly growing AI security nonprofit, from sourcing to offer closure.",aisafety.com
A,nonprofit-ops-exec,185000,Head of Operations / Chief Operating Officer,Encode,"Remote, USA",executive,$170-200k,permanent,,,Executive nonprofit-operations vacancy at $185k midpoint in a function with a deep recruiter supply market and no fee-closure signals.,COO-level leader owning operations for a fast-growing AI policy advocacy nonprofit.,80k-orgpage
A,ai-research,180000,"Founding Member, Technical Staff","NeolithicDesign, ship, and maintain open","San Francisco Bay Area, USA",Mid (5–9 years experience),"$180,000",Full-time,5 August 2026,Software engineering,"real vacancy, $180,000 mid, market exists (ai-research)",,aisafety.com
A,ai-research,178000,"Applied Researcher, Monitoring",Apollo Research,"London, UK (visa sponsorship)",junior,£100-180k,permanent,,,Real AI-ML research engineering vacancy at roughly $178k midpoint in a function with a strong recruiter market.,Applied AI researcher building monitoring for deceptive model behaviour.,80k-orgpage
A,cyber-offensive,175000,Infrastructure Engineer,Intelligence Security Laboratories,"Washington, DC metro area, USA",Mid (5–9 years experience),"$145,000 – $205,000",Full-time,20 August 2026,"Operations, Information security","real vacancy, $175,000 mid, market exists (cyber-offensive)","Design, deploy, secure, and maintain the IT and network infrastructure the organization runs on.",aisafety.com
A,ai-research,175000,"Senior Economist, Windfall Research",WindfallTrust,Remote (USA),Mid (5–9 years experience),"$150,000 – $200,000",Full-time,29 July 2026,Research,"real vacancy, $175,000 mid, market exists (ai-research)",Own Windfall's flagship research products on AI's economic impact across countries.,aisafety.com
A,nonprofit-ops-exec,175000,"Senior Project Manager, Global Dividend Fund",Windfall,Remote (USA),Mid (5–9 years experience),"$150,000 – $200,000",Full-time,29 July 2026,"Operations, Strategy","real vacancy, $175,000 mid, market exists (nonprofit-ops-exec)","TrustStand up a new global wealth fund, building it from a research project into an operating entity with legal structure, governance, and distribution capability.",aisafety.com
A,nonprofit-ops-exec,175000,Head of People,FAR AI,"Remote (USA)San Francisco Bay Area, USA",Mid (5–9 years experience),"$150,000 – $200,000",Full-time,20 July 2026,"Operations, Management","real vacancy, $175,000 mid, market exists (nonprofit-ops-exec)",Build and scale FAR.AI's People function as the organization grows from 40 to 75 staff across multiple geographies.,aisafety.com+80k-orgpage
A,ai-research,175000,Researcher / Senior Researcher,Epoch AI,"Remote, Global",mid,$100-250k,permanent,,,"Real research vacancy at a $175k midpoint requiring deep technical AI fluency, routing to the ai-research supply market.","Quantitative researcher analysing and forecasting AI compute, data, and capability trends.",80k-orgpage
A,cyber-offensive,170000,Standards Researcher,SL5 Task,"San Francisco Bay Area, USA",Junior (1–4 years experience),"$140,000 – $200,000",Full-time,18 August 2026,"Research, Information security","real vacancy, $170,000 mid, market exists (cyber-offensive)",ForceResearch and develop security standards for defending frontier AI labs from nation-state-level threats.,aisafety.com
A,cyber-offensive,164000,GenAI Chemical Safety Expert,Alice,Remote (Global),Mid (5–9 years experience),"$150,000 – $178,000",Full-time,18 August 2026,"Research, Information security","real vacancy, $164,000 mid, market exists (cyber-offensive)",Evaluate and strengthen the safety guardrails of Generative AI systems handling chemical information.,aisafety.com
A,cyber-offensive,164000,"GenAI Chemical, Biological, Radiological, Nuclear, and Explosives Cyber Expert",Alice,Remote (Global),Mid (5–9 years experience),"$150,000 – $178,000",Full-time,14 August 2026,Information security,"real vacancy, $164,000 mid, market exists (cyber-offensive)",Conduct adversarial red-teaming of GenAI systems to identify vulnerabilities against cyber-CBRNE threats.,aisafety.com
A,cyber-offensive,164000,GenAI Biosecurity Expert,Alice,Remote (Global),"Junior (1–4 years experience), Mid (5–9 years experience)","$150,000 – $178,000",Full-time,14 August 2026,"Research, Information security","real vacancy, $164,000 mid, market exists (cyber-offensive)",Evaluate and strengthen the safety guardrails of Generative AI systems.,aisafety.com
A,nonprofit-ops-exec,162500,Organizing Director,New Movement Organization for AI Regulation,"San Francisco Bay Area, USANew York, NY, USARemote (USA)",Senior (10+ years experience),"$150,000 – $175,000",Full-time,17 August 2026,"Strategy, Management","real vacancy, $162,500 mid, market exists (nonprofit-ops-exec)",Build a nationwide organizing program to convert public concern into grassroots political action on AI.,aisafety.com
A,ai-research,162500,"Software Engineer, Benchmarking",Epoch AI,"Remote, Global",junior,$125-200k,permanent,,,Real AI-ML engineering vacancy at a $162.5k midpoint in a function with a deep recruiter market.,Engineer building AI benchmarking infrastructure and evaluations tooling.,80k-orgpage
A,biosecurity-science,161000,"Platform Lead, Laboratory Information Management System",SecureBio,"Boston metro area, USA",mid,$144-178k,permanent,,,"Real lead vacancy at ~$161k midpoint in lab informatics, a recruitable niche within biosecurity lab science, at a non-fee-closed employer.",Leads the LIMS platform underpinning SecureBio's laboratory and sequencing work.,80k-orgpage
A,nonprofit-ops-exec,150000,Operations Director / Operations Manager,New Movement Organization for AIRegulation,"San Francisco Bay Area, USANew York, NY, USARemote (USA)","Mid (5–9 years experience), Senior (10+ years experience)","$130,000 – $170,000",Full-time,17 August 2026,"Operations, Legal, Finance","real vacancy, $150,000 mid, market exists (nonprofit-ops-exec)","Lead the operational foundation for a new AI advocacy movement, ensuring teams, campaigns, and volunteers have the infrastructure and processes needed to maximize impact.",aisafety.com
A,ai-research,150000,Research Engineer,FAR AI,"Remote (Global)San Francisco Bay Area, USA",Multiple experience levels,$50 – $100 per hour,Full-time,14 August 2026,"Research, Software engineering","real vacancy, $150,000 mid, market exists (ai-research)",Develop scalable implementations of machine learning algorithms and use them to run scientific experiments.,aisafety.com+80k-orgpage
A,ai-research,150000,"Economist, Scenarios and Modelling",WindfallTrust,Remote (USA),Mid (5–9 years experience),$50 – $100 per hour,Full-time,29 July 2026,Research,"real vacancy, $150,000 mid, market exists (ai-research)",Build and own Windfall's quantitative modeling capability for scenario-based economic analysis.,aisafety.com
A,ai-research,147500,Software Engineer,Gray Swan,Remote (USA),Junior (1–4 years experience),"$110,000 – $185,000",Full-time,3 August 2026,Software engineering,"real vacancy, $147,500 mid, market exists (ai-research)",Build end-to-end web applicationsfor AI safety and threat detection products.,aisafety.com
A,ai-research,146000,Headhunting Product Specialist,"80,000 Hours","San Francisco Bay Area, USARemote (Global)London, UKWashington, DC metro area, USA","Junior (1–4 years experience), Mid (5–9 years experience)","£81,000 – £93,000; $116,000 – $176,000",Full-time,31 July 2026,"Strategy, Software engineering","real vacancy, $146,000 mid, market exists (ai-research)",Run searches toplace candidates into impactful roles and improve the headhunting product through experimentation and data analysis.,aisafety.com
A,ai-research,145000,"Technical Advisor, Fine-Tuning and Evals",Mycelium,"Remote (Global)San Francisco Bay Area, USA",Mid (5–9 years experience),$55 – $90 per hour,Part-time,28 August 2026,Research,"real vacancy, $145,000 mid, market exists (ai-research)",Advise on fine-tuning and evaluation design for instilling animal welfare values in open-weight models.,aisafety.com
A,nonprofit-ops-exec,145000,Senior Operations Manager,Encode,"Remote, USA",mid,$130-160k,permanent,,,"Real nonprofit-operations vacancy with a $145k midpoint that clears the salary bar in a function recruiters actively serve, at a fee-open employer.",Senior operations manager supporting Encode's US-remote nonprofit operations.,80k-orgpage
A,nonprofit-ops-exec,142863,Executive Business Partner,Safe AI Forum,"San Francisco Bay Area, USALondon, UKUK",Junior (1–4 years experience),"£89,710 – £110,531; $128,008 – $157,718",Full-time,1 September 2026,Operations,"real vacancy, $142,863 mid, market exists (nonprofit-ops-exec)","Be the nerve centre of SAIF's executive team, managing coordination and systems for the Executive Director and leadership.",aisafety.com
A,nonprofit-ops-exec,140000,Office and Events Manager,SL5 TaskForce,"San Francisco Bay Area, USA",Junior (1–4 years experience),"$120,000 – $160,000",Full-time,18 August 2026,Operations,"real vacancy, $140,000 mid, market exists (nonprofit-ops-exec)",Manage the San Francisco office operations and coordinate events for an AI security nonprofit.,aisafety.com
A,cyber-offensive,140000,IT and Security Specialist,Epoch AI,Remote (Global),Mid (5–9 years experience),"$125,000 – $155,000",Full-time,10 August 2026,Information security,"real vacancy, $140,000 mid, market exists (cyber-offensive)","Own security protocols, access controls, and systems protecting Epoch's research and data.",aisafety.com+80k-orgpage
A,ai-research,140000,"Research Engineer, AI Safety and Evals",AndonLabs,"San Francisco Bay Area, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$100,000 – $180,000",Full-time,28 July 2026,"Research, Software engineering","real vacancy, $140,000 mid, market exists (ai-research)",Design and run evaluations probing AI behavior in real-world deployments to ensure safety and alignment.,aisafety.com
A,ai-research,140000,"Engineer, Robotics and Hardware",AndonLabs,"San Francisco Bay Area, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$100,000 – $180,000",Full-time,28 July 2026,"Engineering, Research","real vacancy, $140,000 mid, market exists (ai-research)","Develop robots, sensors, and custom hardware that enable AI systems to operate autonomously in the physical world.",aisafety.com
A,ai-research,137500,Research Scientist,FAR AI,"San Francisco Bay Area, USA",Multiple experience levels,"$100,000 – $175,000",Full-time,14 August 2026,"Research, Software engineering","real vacancy, $137,500 mid, market exists (ai-research)",We are seeking expressions of interest from potential Research Scientists who can: Take ownership of and accelerate existing AI Alignment research agendas.,aisafety.com+80k-orgpage
