icp_category,supply_cell,salary_mid_usd,title,org,location,experience,salary_text,role_type,posted,skills,icp_reason,description
A,cyber-offensive,290000,Infrastructure Lead,Intelligence Security Laboratories,"Washington, DC metro area, USA",Mid (5–9 years experience),"$205,000 – $375,000",Full-time,20 August 2026,"Software engineering, Information security, Management","real vacancy, $290,000 mid, market exists (cyber-offensive)","Design, deploy, secure, and maintain the IT and network infrastructure the organization runs on."
A,ai-research,285750,"Research Scientist, London",Goodfire,"London, UK",Junior (1–4 years experience),"£150,000 – £300,000",Full-time,7 August 2026,"Research, Software engineering","real vacancy, $285,750 mid, market exists (ai-research)",Conduct original research in interpretability to understand and steer large AI models.
A,ai-research,275000,Machine Learning Engineer,SL5 Task Force,"San Francisco Bay Area, USA",Mid (5–9 years experience),"Base: $200,000 – $350,000",Full-time,18 August 2026,"Research, Software engineering","real vacancy, $275,000 mid, market exists (ai-research)",Designexperiments measuring Security Level 5 controls' impact on frontier AI research and engineering.
A,cyber-offensive,275000,Network Engineer,SL5 Task Force,"San Francisco Bay Area, USA",Mid (5–9 years experience),"Base: $200,000 – $350,000",Full-time,18 August 2026,Information security,"real vacancy, $275,000 mid, market exists (cyber-offensive)",Designand operate the network fabric for a Security Level 5 datacenter defending frontier AI from nation-state threats.
A,ai-research,271000,"Staff Research Scientist, AI Safety",Biohub,"New York, NY, USA",Mid (5–9 years experience),"$241,000 – $301,000",Full-time,25 August 2026,Research,"real vacancy, $271,000 mid, market exists (ai-research)",Develop safety evaluations and safeguards for frontier AI systems applied to biological research.
A,cyber-offensive,256000,"Forward Deployed Engineer, Product",Apollo Research,"San Francisco Bay Area, USALondon, UK","Junior (1–4 years experience), Mid (5–9 years experience)","$222,000 – $290,000; £149,000 – £195,000",Full-time,31 August 2026,"Software engineering, Information security, Strategy","real vacancy, $256,000 mid, market exists (cyber-offensive)","Own customer deployments, integrations, and support for Watcher across the entire lifecycle."
A,cyber-offensive,256000,"Software Engineer, Product, Full-Stack",Apollo Research,"San Francisco Bay Area, USALondon, UK",Mid (5–9 years experience),"$222,000 – $290,000; £149,000 – £195,000",Full-time,31 August 2026,"Software engineering, Information security, Strategy","real vacancy, $256,000 mid, market exists (cyber-offensive)","Build and scale Watcher, a coding agent security product, owning full-stack features."
A,ai-research,250000,Head of Guidance and Preparedness,AI Whistleblower Initiative,"San Francisco Bay Area, USA","Mid (5–9 years experience), Senior (10+ years experience)","$250,000",Full-time,28 August 2026,"Research, Strategy, Management","real vacancy, $250,000 mid, market exists (ai-research)",Develop guidance for AI insiders raising safety concerns and close gaps in the whistleblowing ecosystem.
A,ai-research,250000,"Member of Technical Staff, Design Engineering",AI Digest,Remote (Global),Multiple experience levels,"$150,000 – $350,000",Full-time,25 August 2026,"Software engineering, Other","real vacancy, $250,000 mid, market exists (ai-research)",Leadthe redesign of the AI Village website to help readers rapidly discover and explore compelling research findings.
A,ai-research,250000,"Member of Technical Staff, Engineering",AI Digest,Remote (Global),Multiple experience levels,"$150,000 – $350,000",Full-time,25 August 2026,Software engineering,"real vacancy, $250,000 mid, market exists (ai-research)","Help build and scale the AI Village, an interactive platform studying frontier AI agents on long-term goals."
A,ai-research,250000,"Member of Technical Staff, Research Scientist",AI Digest,Remote (Global),Multiple experience levels,"$150,000 – $350,000",Full-time,25 August 2026,Research,"real vacancy, $250,000 mid, market exists (ai-research)","Leadresearch to uncover insights about AI capabilities, behaviours, and emergent dynamics using AI Village data."
A,ai-research,247650,Founding Member of Technical Staff,Sampura Research,"London, UK",Multiple experience levels,"£100,000 – £290,000",Full-time,28 August 2026,"Research, Software engineering","real vacancy, $247,650 mid, market exists (ai-research)",Shape research and engineering for AI safety by improving human/AI judges for model alignment and evaluation.
A,cyber-offensive,247000,AI Security Researcher,Apollo Research,"San Francisco Bay Area, USALondon, UK",Mid (5–9 years experience),"$214,000 – $280,000; £144,000 – £188,000",Full-time,31 August 2026,"Information security, Research","real vacancy, $247,000 mid, market exists (cyber-offensive)","Identify, research, and remediate conventional and novel threats from AI agents at Apollo."
A,ai-research,245000,Staff Software Engineer,Gray Swan,"Pittsburgh, PA, USA",Mid (5–9 years experience),"$210,000 – $280,000",Full-time,3 August 2026,Software engineering,"real vacancy, $245,000 mid, market exists (ai-research)",Build end-to-end web applicationsand integrate AI experiences across the full technology stack.
A,ai-research,243000,"Research Scientist, Agent Robustness",Scale AI,"New York, NY, USASan Francisco Bay Area, USA",Junior (1–4 years experience),"$216,000 – $270,000",Full-time,27 August 2026,Research,"real vacancy, $243,000 mid, market exists (ai-research)","Conduct technical research on AI agent robustness, safety, and alignment with humans."
A,ai-research,235000,"Software Engineer, Infrastructure",Gray Swan,"Pittsburgh, PA, USARemote (USA)",Mid (5–9 years experience),"$180,000 – $290,000",Full-time,3 August 2026,Software engineering,"real vacancy, $235,000 mid, market exists (ai-research)",Design andmaintain the backend infrastructure and distributed systems powering Gray Swan's AI security platform.
A,ai-research,225000,"Member of Technical Staff, Frontier Robotics Evals",Robocurve,"San Francisco Bay Area, USA",Multiple experience levels,"$150,000 – $300,000",Full-time,26 August 2026,"Research, Software engineering","real vacancy, $225,000 mid, market exists (ai-research)",Design robotics benchmarks and run evaluations of frontier AI models on real robots.
A,ai-research,215000,Research Manager,Center for AI Safety,"San Francisco Bay Area, USA","Mid (5–9 years experience), Senior (10+ years experience)","$170,000 – $260,000",Full-time,21 July 2026,"Research, Management, Software engineering","real vacancy, $215,000 mid, market exists (ai-research)",Lead research as a senior manager solving hard problems and translating strategic vision into team execution.
A,ai-research,212500,"Senior Software Engineer, AI Benchmarking",SecureBio,"San Francisco Bay Area, USABoston metro area, USA",Mid (5–9 years experience),"$180,000 – $245,000",Full-time,29 July 2026,Software engineering,"real vacancy, $212,500 mid, market exists (ai-research)",Build and scale biosecurity evaluations on frontier AI systems to measure dual-use biology risks and inform safety decisions.
A,cyber-offensive,210820,Security Engineer,Apollo Research,"San Francisco Bay Area, USALondon, UK",Mid (5–9 years experience),"$214,000 – $280,00; £144,000 – £188,000",Full-time,31 August 2026,"Information security, Software engineering","real vacancy, $210,820 mid, market exists (cyber-offensive)",Design and deploy security controls that protect Apollo's infrastructure and make the secure path the default.
A,ai-research,210000,Alignment Scientist / Engineer,AE Studio,"Remote (Global)Los Angeles, CA, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$180,000 – $240,000",Full-time,31 August 2026,"Research, Software engineering","real vacancy, $210,000 mid, market exists (ai-research)","Conduct independent AI alignment research on pretraining, interpretability, and model safety approaches."
A,nonprofit-ops-exec,210000,Alignment Research Manager,AE Studio,"Remote (Global)Los Angeles, CA, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$180,000 – $240,000",Full-time,31 August 2026,"Strategy, Management","real vacancy, $210,000 mid, market exists (nonprofit-ops-exec)","Manage research projects end-to-end, turning abstract ideas into clear roadmaps and keeping teams unblocked and moving fast."
A,cyber-offensive,210000,"Engineering Manager, Red Team",FAR AI,Remote (Global),Mid (5–9 years experience),"$170,000 – $250,000",Full-time,25 August 2026,"Management, Software engineering, Information security","real vacancy, $210,000 mid, market exists (cyber-offensive)",Lead engineering to build scalable red-teaming systems for testing frontier AI model safeguards.
A,nonprofit-ops-exec,210000,"Director, Site Services",Constellation,"San Francisco Bay Area, USA",Senior (10+ years experience),"$180,000 – $240,000",Full-time,30 July 2026,"Operations, Strategy, Management","real vacancy, $210,000 mid, market exists (nonprofit-ops-exec)","Oversee site services spanning IT, security, facilities, and catering to enable AI safety research."
A,ai-research,208500,Machine Learning Engineer,Gray Swan,"Pittsburgh, PA, USARemote (USA)Remote (Global)",Mid (5–9 years experience),"$160,000 – $257,000",Full-time,3 August 2026,"Research, Software engineering","real vacancy, $208,500 mid, market exists (ai-research)","Design anddeploy advanced ML models for AI safety, bridging research and production."
A,nonprofit-ops-exec,200000,Campus Operations Co-Lead,Lightcone Infrastructure,"San Francisco Bay Area, USA",Multiple experience levels,"$100,000 – $300,000",Full-time,24 August 2026,Operations,"real vacancy, $200,000 mid, market exists (nonprofit-ops-exec)","Manage operations at Lighthaven, a Berkeley campus hosting events, fellowships and conferences."
A,nonprofit-ops-exec,200000,Chief of Staff,Alignment Research Center,"San Francisco Bay Area, USA",Mid (5–9 years experience),"$150,000 – $250,000",Full-time,5 August 2026,"Operations, Management","real vacancy, $200,000 mid, market exists (nonprofit-ops-exec)","Lead hiring, operations, governance, and organizational management as ARC rapidly scales."
A,nonprofit-ops-exec,200000,Chief of Staff,The AI Policy,"Washington, DC metro area, USA",Mid (5–9 years experience),"$165,000 – $235,000",Full-time,4 August 2026,"Operations, Strategy","real vacancy, $200,000 mid, market exists (nonprofit-ops-exec)","NetworkExtend the Executive Director's capacity across operations, decision-making, and organisational scaling."
A,cyber-offensive,200000,Red Team Engineer,Gray Swan,Remote (USA)Remote (Global),Junior (1–4 years experience),"$110,000 – $290,000",Full-time,3 August 2026,"Information security, Software engineering","real vacancy, $200,000 mid, market exists (cyber-offensive)","Design andexecute red teaming attacks on frontier AI systems, identifying vulnerabilities and translating findings into clear reports."
A,ai-research,200000,Senior Software Engineer,GraySwan,"Pittsburgh, PA, USA",Mid (5–9 years experience),"$180,000 – $220,000",Full-time,3 August 2026,Software engineering,"real vacancy, $200,000 mid, market exists (ai-research)","Own full-stack development across frontend, backend APIs, and databases, turning ideas into production products."
A,nonprofit-ops-exec,190000,Head of Finance,MATS Research,"San Francisco Bay Area, USA",Senior (10+ years experience),"$160,000 – $220,000",Full-time,28 July 2026,"Operations, Finance","real vacancy, $190,000 mid, market exists (nonprofit-ops-exec)","Build MATS's financial function, owning accounting, budgeting, grants, payments, procurement, and strategy as the org scales 2x annually."
A,cyber-offensive,185000,"Specialist, Redteaming, Auditing, and Compliance",SL5 Task Force,"San Francisco Bay Area, USA",Mid (5–9 years experience),"$140,000 – $230,000",Full-time,18 August 2026,"Information security, Legal","real vacancy, $185,000 mid, market exists (cyber-offensive)",Developauditing protocols ensuring Security Level 5 standards can defend frontier AI against nation-state threats.
A,nonprofit-ops-exec,185000,Recruiter,SL5 TaskForce,"San Francisco Bay Area, USA",Junior (1–4 years experience),"$150,000 – $220,000",Full-time,18 August 2026,Operations,"real vacancy, $185,000 mid, market exists (nonprofit-ops-exec)","Own the full recruiting cycle for a rapidly growing AI security nonprofit, from sourcing to offer closure."
A,ai-research,180000,"Founding Member, Technical Staff","NeolithicDesign, ship, and maintain open","San Francisco Bay Area, USA",Mid (5–9 years experience),"$180,000",Full-time,5 August 2026,Software engineering,"real vacancy, $180,000 mid, market exists (ai-research)",
A,cyber-offensive,175000,Infrastructure Engineer,Intelligence Security Laboratories,"Washington, DC metro area, USA",Mid (5–9 years experience),"$145,000 – $205,000",Full-time,20 August 2026,"Operations, Information security","real vacancy, $175,000 mid, market exists (cyber-offensive)","Design, deploy, secure, and maintain the IT and network infrastructure the organization runs on."
A,ai-research,175000,"Senior Economist, Windfall Research",WindfallTrust,Remote (USA),Mid (5–9 years experience),"$150,000 – $200,000",Full-time,29 July 2026,Research,"real vacancy, $175,000 mid, market exists (ai-research)",Own Windfall's flagship research products on AI's economic impact across countries.
A,nonprofit-ops-exec,175000,"Senior Project Manager, Global Dividend Fund",Windfall,Remote (USA),Mid (5–9 years experience),"$150,000 – $200,000",Full-time,29 July 2026,"Operations, Strategy","real vacancy, $175,000 mid, market exists (nonprofit-ops-exec)","TrustStand up a new global wealth fund, building it from a research project into an operating entity with legal structure, governance, and distribution capability."
A,nonprofit-ops-exec,175000,Head of People,FAR AI,"Remote (USA)San Francisco Bay Area, USA",Mid (5–9 years experience),"$150,000 – $200,000",Full-time,20 July 2026,"Operations, Management","real vacancy, $175,000 mid, market exists (nonprofit-ops-exec)",Build and scale FAR.AI's People function as the organization grows from 40 to 75 staff across multiple geographies.
A,cyber-offensive,170000,Standards Researcher,SL5 Task,"San Francisco Bay Area, USA",Junior (1–4 years experience),"$140,000 – $200,000",Full-time,18 August 2026,"Research, Information security","real vacancy, $170,000 mid, market exists (cyber-offensive)",ForceResearch and develop security standards for defending frontier AI labs from nation-state-level threats.
A,cyber-offensive,164000,GenAI Chemical Safety Expert,Alice,Remote (Global),Mid (5–9 years experience),"$150,000 – $178,000",Full-time,18 August 2026,"Research, Information security","real vacancy, $164,000 mid, market exists (cyber-offensive)",Evaluate and strengthen the safety guardrails of Generative AI systems handling chemical information.
A,cyber-offensive,164000,"GenAI Chemical, Biological, Radiological, Nuclear, and Explosives Cyber Expert",Alice,Remote (Global),Mid (5–9 years experience),"$150,000 – $178,000",Full-time,14 August 2026,Information security,"real vacancy, $164,000 mid, market exists (cyber-offensive)",Conduct adversarial red-teaming of GenAI systems to identify vulnerabilities against cyber-CBRNE threats.
A,cyber-offensive,164000,GenAI Biosecurity Expert,Alice,Remote (Global),"Junior (1–4 years experience), Mid (5–9 years experience)","$150,000 – $178,000",Full-time,14 August 2026,"Research, Information security","real vacancy, $164,000 mid, market exists (cyber-offensive)",Evaluate and strengthen the safety guardrails of Generative AI systems.
A,nonprofit-ops-exec,162500,Organizing Director,New Movement Organization for AI Regulation,"San Francisco Bay Area, USANew York, NY, USARemote (USA)",Senior (10+ years experience),"$150,000 – $175,000",Full-time,17 August 2026,"Strategy, Management","real vacancy, $162,500 mid, market exists (nonprofit-ops-exec)",Build a nationwide organizing program to convert public concern into grassroots political action on AI.
A,nonprofit-ops-exec,150000,Operations Director / Operations Manager,New Movement Organization for AIRegulation,"San Francisco Bay Area, USANew York, NY, USARemote (USA)","Mid (5–9 years experience), Senior (10+ years experience)","$130,000 – $170,000",Full-time,17 August 2026,"Operations, Legal, Finance","real vacancy, $150,000 mid, market exists (nonprofit-ops-exec)","Lead the operational foundation for a new AI advocacy movement, ensuring teams, campaigns, and volunteers have the infrastructure and processes needed to maximize impact."
A,ai-research,150000,Research Engineer,FAR AI,"Remote (Global)San Francisco Bay Area, USA",Multiple experience levels,$50 – $100 per hour,Full-time,14 August 2026,"Research, Software engineering","real vacancy, $150,000 mid, market exists (ai-research)",Develop scalable implementations of machine learning algorithms and use them to run scientific experiments.
A,ai-research,150000,"Economist, Scenarios and Modelling",WindfallTrust,Remote (USA),Mid (5–9 years experience),$50 – $100 per hour,Full-time,29 July 2026,Research,"real vacancy, $150,000 mid, market exists (ai-research)",Build and own Windfall's quantitative modeling capability for scenario-based economic analysis.
A,ai-research,147500,Software Engineer,Gray Swan,Remote (USA),Junior (1–4 years experience),"$110,000 – $185,000",Full-time,3 August 2026,Software engineering,"real vacancy, $147,500 mid, market exists (ai-research)",Build end-to-end web applicationsfor AI safety and threat detection products.
A,ai-research,146000,Headhunting Product Specialist,"80,000 Hours","San Francisco Bay Area, USARemote (Global)London, UKWashington, DC metro area, USA","Junior (1–4 years experience), Mid (5–9 years experience)","£81,000 – £93,000; $116,000 – $176,000",Full-time,31 July 2026,"Strategy, Software engineering","real vacancy, $146,000 mid, market exists (ai-research)",Run searches toplace candidates into impactful roles and improve the headhunting product through experimentation and data analysis.
A,ai-research,145000,"Technical Advisor, Fine-Tuning and Evals",Mycelium,"Remote (Global)San Francisco Bay Area, USA",Mid (5–9 years experience),$55 – $90 per hour,Part-time,28 August 2026,Research,"real vacancy, $145,000 mid, market exists (ai-research)",Advise on fine-tuning and evaluation design for instilling animal welfare values in open-weight models.
A,nonprofit-ops-exec,142863,Executive Business Partner,Safe AI Forum,"San Francisco Bay Area, USALondon, UKUK",Junior (1–4 years experience),"£89,710 – £110,531; $128,008 – $157,718",Full-time,1 September 2026,Operations,"real vacancy, $142,863 mid, market exists (nonprofit-ops-exec)","Be the nerve centre of SAIF's executive team, managing coordination and systems for the Executive Director and leadership."
A,nonprofit-ops-exec,140000,Office and Events Manager,SL5 TaskForce,"San Francisco Bay Area, USA",Junior (1–4 years experience),"$120,000 – $160,000",Full-time,18 August 2026,Operations,"real vacancy, $140,000 mid, market exists (nonprofit-ops-exec)",Manage the San Francisco office operations and coordinate events for an AI security nonprofit.
A,cyber-offensive,140000,IT and Security Specialist,Epoch AI,Remote (Global),Mid (5–9 years experience),"$125,000 – $155,000",Full-time,10 August 2026,Information security,"real vacancy, $140,000 mid, market exists (cyber-offensive)","Own security protocols, access controls, and systems protecting Epoch's research and data."
A,ai-research,140000,"Research Engineer, AI Safety and Evals",AndonLabs,"San Francisco Bay Area, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$100,000 – $180,000",Full-time,28 July 2026,"Research, Software engineering","real vacancy, $140,000 mid, market exists (ai-research)",Design and run evaluations probing AI behavior in real-world deployments to ensure safety and alignment.
A,ai-research,140000,"Engineer, Robotics and Hardware",AndonLabs,"San Francisco Bay Area, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$100,000 – $180,000",Full-time,28 July 2026,"Engineering, Research","real vacancy, $140,000 mid, market exists (ai-research)","Develop robots, sensors, and custom hardware that enable AI systems to operate autonomously in the physical world."
A,ai-research,137500,Research Scientist,FAR AI,"San Francisco Bay Area, USA",Multiple experience levels,"$100,000 – $175,000",Full-time,14 August 2026,"Research, Software engineering","real vacancy, $137,500 mid, market exists (ai-research)",We are seeking expressions of interest from potential Research Scientists who can: Take ownership of and accelerate existing AI Alignment research agendas.
A,nonprofit-ops-exec,135000,"Associate, AI and Advanced Computing",SchmidtSciences,"New York, NY, USA",Junior (1–4 years experience),"$120,000 – $150,000",Full-time,25 August 2026,Operations,"real vacancy, $135,000 mid, market exists (nonprofit-ops-exec)",Support Schmidt Sciences' AI Center grantmaking programs by managing the grant lifecycle.
A,cyber-offensive,133500,"Team Lead, GenAI Safety",Alice,"New York, NY, USA",Mid (5–9 years experience),"$127,000 – $140,000",Full-time,30 July 2026,"Research, Management, Information security","real vacancy, $133,500 mid, market exists (cyber-offensive)",Lead a multidisciplinary team conducting adversarial testing and risk evaluations to strengthen AI model safety.
A,nonprofit-ops-exec,132500,Executive Assistant to Jeffrey Ladish,Palisade Research,"San Francisco Bay Area, USA",Junior (1–4 years experience),"$110,000 – $155,000",Full-time,31 August 2026,Operations,"real vacancy, $132,500 mid, market exists (nonprofit-ops-exec)","Support Jeffrey Ladish with communications to public audiences, briefing policymakers, and planning initiatives to prevent loss of control to AI."
A,nonprofit-ops-exec,132500,Senior Digital Manager,New Movement Organization for AI Regulation,"New York, NY, USARemote (USA)",Mid (5–9 years experience),"$120,000 – $145,000",Full-time,17 August 2026,"Communications, Management","real vacancy, $132,500 mid, market exists (nonprofit-ops-exec)","Build and manage email, SMS, and social media programs to mobilize grassroots AI advocacy."
A,ai-research,101600,Principal Engineer,AI Whistleblower Initiative,"London, UK",Senior (10+ years experience),"£70,000 – £90,000",Full-time,25 August 2026,Software engineering,"real vacancy, $101,600 mid, market exists (ai-research)","Own all of AIWI's technology infrastructure, from architecture and deployment to security and maintenance."
A,ai-research,0,"Senior Data Scientist, Safety",Faculty,"London, UK","Mid (5–9 years experience), Senior (10+ years experience)",,Full-time,28 August 2026,"Research, Software engineering","real vacancy, $0 mid, market exists (ai-research)",Lead high-impact AI safety projects and shape technical direction of upstream evaluation standards.
A,nonprofit-ops-exec,0,"Head of Programme, Security and Technology","United Nations, Institute for Disarmamen","Geneva, Switzerland",Senior (10+ years experience),,Full-time,28 August 2026,"Policy, Management","real vacancy, $0 mid, market exists (nonprofit-ops-exec)",
A,nonprofit-ops-exec,0,"Senior Manager, Talent Acquisition",LawZero,"Montreal, Canada",Senior (10+ years experience),,Full-time,27 August 2026,"Operations, Management","real vacancy, $0 mid, market exists (nonprofit-ops-exec)",Lead talent acquisition strategy and manage a growing team to attract global AI and research talent.
A,ai-research,0,Head of Biology,GraySwan,Remote (USA),"Mid (5–9 years experience), Senior (10+ years experience)",,Full-time,25 August 2026,"Research, Strategy","real vacancy, $0 mid, market exists (ai-research)","Work on AI security, uncovering hard problems at the frontier and turning insights into real-world solutions."
A,cyber-offensive,0,Senior AI Red Team Engineer,"Carnegie Mellon University, Software Engineering InstituteRe","Pittsburgh, PA, USAWashington, DC metro area, USA","Mid (5–9 years experience), Senior (10+ years experience)",,Full-time,21 August 2026,"Software engineering, Information security","real vacancy, $0 mid, market exists (cyber-offensive)","d team real-world AI-enabled systems used in national security contexts, combining offensive cyber expertise with AI security knowledge."
A,nonprofit-ops-exec,0,"Managing Director, Europe",PourDemain,"Brussels, Belgium","Mid (5–9 years experience), Senior (10+ years experience)",,Full-time,11 August 2026,"Strategy, Operations, Management","real vacancy, $0 mid, market exists (nonprofit-ops-exec)","Lead Pour Demain Europe's growth from 5 to 10+ staff, designing systems and structures for agility at scale."
A,cyber-offensive,0,Senior AI Security Researcher,"Carnegie Mellon University, Software EngineeringInstitute","Pittsburgh, PA, USA","Mid (5–9 years experience), Senior (10+ years experience)",,Full-time,4 August 2026,"Research, Information security","real vacancy, $0 mid, market exists (cyber-offensive)",Conduct research on AI system vulnerabilities and develop methodologies to advance AI security.
B,ai-research,600000,"Research Scientist, Takeoff Intel",Anthropic,"San Francisco Bay Area, USANew York, NY, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$350,000 – $850,000",Full-time,4 August 2026,"Research, Software engineering","frontier lab - in-house talent teams, agency-selective",Identify key signals tracking AI R&D acceleration and design evaluations that measure recursive self-improvement in large models.
B,cyber-offensive,445000,"Software Security Engineering Manager, Secure Frameworks",Anthropic,"San Francisco Bay Area, USASeattle metro area, USA",Mid (5–9 years experience),"$405,000 – $485,000",Full-time,15 July 2026,"Information security, Software engineering, Management","frontier lab - in-house talent teams, agency-selective","Lead the Secure Frameworks Research team, designing security frameworks and libraries that prevent entire classes of vulnerabilities."
B,ai-research,425000,"Machine Learning Infrastructure Engineer, Safeguards Research",Anthropic,"San Francisco Bay Area, USANew York, NY, USA",Mid (5–9 years experience),"$350,000 – $500,000",Full-time,22 July 2026,Software engineering,"frontier lab - in-house talent teams, agency-selective",Build and maintain the infrastructure and data pipelines supporting Safeguards machine learning research.
B,cyber-offensive,402500,"Software Engineer, Infrastructure, Interpretability",Anthropic,"San Francisco Bay Area, USANew York, NY, USA",Mid (5–9 years experience),"$320,000 – $485,000",Full-time,13 August 2026,"Software engineering, Information security","frontier lab - in-house talent teams, agency-selective",Build infrastructure that enables interpretability researchers to access frontier models securely and with low friction.
B,cyber-offensive,362500,Head of Vulnerability Disclosure and Security Community,Anthropic,"San Francisco Bay Area, USANew York, NY, USAWashington, DC metro area, USA","Mid (5–9 years experience), Senior (10+ years experience)","$330,000 – $395,000",Full-time,27 August 2026,Information security,"frontier lab - in-house talent teams, agency-selective","Own and operate Anthropic's public, coordinated-disclosure jailbreak program end-to-end."
B,cyber-offensive,307500,Senior Cyber Policy Lead,Anthropic,"Washington, DC metro area, USA",Senior (10+ years experience),"$285,000 – $330,000",Full-time,26 August 2026,Information security,"frontier lab - in-house talent teams, agency-selective",Lead governance of Anthropic's cyber-relevant model access and serve as the primary policy interface with government and regulatory stakeholders.
